target,rows,features,r2,mae
item_knn_score,900,85,0.9990011700507324,0.005551156880835785
popularity_score,900,85,0.9983302008713111,0.0032506830017005987
genre_score,900,85,0.9049246534797257,0.05266642958153213
hybrid_score,900,85,0.9743248385733789,0.02524488243638779
