epoch,loss,precision@10,recall@10,hit_rate@10,ndcg@10,is_best
1,0.5724335853586492,0.169,0.17427603299003802,0.73,0.22136470451592755,True
2,0.4581893307646525,0.279,0.3050871849387373,0.84,0.39785530793692836,True
3,0.4160339915260826,0.35300000000000004,0.4048370453318242,0.9,0.5109883850345894,True
4,0.372117541807214,0.39900000000000013,0.46951731954950715,0.93,0.5580552819123304,True
5,0.33272839329906345,0.4210000000000001,0.5222219771485193,0.95,0.5928530792946793,True
