item_knn_weight,popularity_weight,genre_weight,diversity_weight,users_evaluated,precision@10,recall@10,hit_rate@10,ndcg@10
0.5,0.25,0.25,0.0,100,0.389,0.49188387676602274,0.96,0.580520733485291
0.5,0.25,0.25,0.1,100,0.393,0.4903147525642078,0.95,0.5777743486807939
0.25,0.5,0.25,0.1,100,0.38299999999999995,0.48038624257450785,0.93,0.5762401669569088
0.25,0.5,0.25,0.05,100,0.38299999999999995,0.4763411882647477,0.93,0.5747081416841722
0.5,0.25,0.25,0.05,100,0.387,0.48045113800719713,0.95,0.5738433166090402
0.5,0.5,0.0,0.0,100,0.382,0.48799067025000814,0.93,0.5691343007791714
0.25,0.5,0.25,0.0,100,0.374,0.4663730146399703,0.93,0.5669297583537143
0.5,0.5,0.0,0.05,100,0.38,0.4857521933181351,0.94,0.5649091297710916
0.5,0.5,0.0,0.1,100,0.37500000000000006,0.47445912396918344,0.94,0.5581139550107723
0.75,0.25,0.0,0.0,100,0.38400000000000006,0.4934378946698496,0.95,0.5569048823450897
0.75,0.0,0.25,0.0,100,0.381,0.49157630806447455,0.96,0.5508333152684013
0.75,0.0,0.25,0.05,100,0.382,0.4926157731324971,0.96,0.5488008607643959
0.75,0.0,0.25,0.1,100,0.384,0.4923930259383074,0.97,0.5480156640506851
0.75,0.25,0.0,0.05,100,0.3760000000000001,0.4851269516718357,0.94,0.5474710657846864
0.5,0.0,0.5,0.1,100,0.376,0.47450145657119813,0.96,0.5443652291665323
0.5,0.0,0.5,0.05,100,0.377,0.4721243094859489,0.95,0.5436060128566046
0.5,0.0,0.5,0.0,100,0.376,0.4672092768062104,0.95,0.5427022532510191
0.75,0.25,0.0,0.1,100,0.3730000000000001,0.4759003321952162,0.93,0.5402962628474071
1.0,0.0,0.0,0.0,100,0.37000000000000005,0.4780452830204331,0.95,0.5382228801373641
0.25,0.25,0.5,0.1,100,0.35600000000000004,0.44170619782333587,0.93,0.5369443046659848
0.25,0.25,0.5,0.05,100,0.35700000000000004,0.4443000283993646,0.93,0.536377991788196
0.25,0.75,0.0,0.0,100,0.359,0.44233449176166784,0.92,0.5322099213228855
0.25,0.25,0.5,0.0,100,0.3509999999999999,0.43195992270718064,0.93,0.5311960499001852
1.0,0.0,0.0,0.05,100,0.36400000000000005,0.474829777937281,0.95,0.5285856120084048
0.25,0.75,0.0,0.05,100,0.35600000000000004,0.4351855851127613,0.9,0.5256883698337513
1.0,0.0,0.0,0.1,100,0.36200000000000004,0.47360731830646846,0.94,0.5252045172003633
0.25,0.75,0.0,0.1,100,0.3539999999999999,0.4301645388564209,0.89,0.52211471324311
0.0,0.75,0.25,0.05,100,0.3340000000000001,0.4110552132964182,0.92,0.4842391426413202
0.0,0.75,0.25,0.1,100,0.32899999999999996,0.40518510241314937,0.92,0.4784206879164296
0.0,1.0,0.0,0.0,100,0.3270000000000001,0.3992933421949186,0.88,0.4739787837538864
0.0,0.75,0.25,0.0,100,0.32400000000000007,0.386284728557756,0.9,0.47201756685523366
0.0,1.0,0.0,0.05,100,0.32299999999999995,0.3833890705979225,0.89,0.46659472835860155
0.0,1.0,0.0,0.1,100,0.31800000000000006,0.36367828628419707,0.87,0.4580777161085663
0.25,0.0,0.75,0.1,100,0.317,0.3957694421052945,0.94,0.43930134290999745
0.25,0.0,0.75,0.05,100,0.314,0.38497670901911557,0.94,0.43307455779400433
0.0,0.5,0.5,0.1,100,0.28800000000000003,0.3364788244144431,0.85,0.4326038884499191
0.25,0.0,0.75,0.0,100,0.31000000000000005,0.3753932809644055,0.94,0.4285000450051688
0.0,0.5,0.5,0.05,100,0.287,0.3367353603621555,0.85,0.42705207524483924
0.0,0.5,0.5,0.0,100,0.28300000000000003,0.33311548513933914,0.84,0.4235811258021721
0.0,0.25,0.75,0.1,100,0.24600000000000002,0.27909256171271535,0.81,0.35659836544707296
0.0,0.25,0.75,0.05,100,0.244,0.2778650272813716,0.81,0.35275875860098993
0.0,0.25,0.75,0.0,100,0.23700000000000002,0.26238859195199504,0.77,0.3451363832542371
0.0,0.0,1.0,0.1,100,0.19400000000000003,0.20650772165927792,0.7,0.24995905713784025
0.0,0.0,1.0,0.05,100,0.19399999999999998,0.20430555291299154,0.69,0.24925825789814035
0.0,0.0,1.0,0.0,100,0.19200000000000003,0.19914170404117343,0.7,0.24485883394433372
