recommender,precision@5,recall@5,hit_rate@5,ndcg@5,precision@10,recall@10,hit_rate@10,ndcg@10
genre_personalized_popularity,0.414,0.28334464551661825,0.86,0.4834282854670765,0.312,0.3726431075734976,0.88,0.4689496324768851
hybrid_ranker,0.47800000000000004,0.3386047334639153,0.9,0.5537869942490345,0.397,0.5040983963360965,0.95,0.5842581740909796
item_item_knn,0.44800000000000006,0.31711496659929095,0.84,0.5015959115805293,0.382,0.4832453354180704,0.94,0.5408615318412627
neumf_ranking_model,0.502,0.31473483369749566,0.87,0.5627599421823236,0.41600000000000004,0.49826339044947915,0.93,0.5862810842921283
neumf_rating_model,0.19400000000000003,0.11292179812636985,0.56,0.20589926186294039,0.195,0.2095505367838852,0.76,0.2406230426328334
popularity_bayes,0.398,0.24782883084815052,0.78,0.45750909603612955,0.33,0.3812995429344652,0.85,0.47314851060295837
random,0.10800000000000001,0.05923248756674911,0.4,0.12095117372148252,0.10400000000000001,0.11956460460130514,0.62,0.13585842318824537
