target,rank,feature,mean_abs_shap
popularity_score,19,user_pref::Animation,0.0003821522362583872
popularity_score,20,movie_rating_std,0.000372002763512262
popularity_score,21,user_pref::Documentary,0.00035645164832258586
popularity_score,22,user_pref::Film-Noir,0.0003155204400664342
popularity_score,23,user_pref::War,0.0002692732811213453
popularity_score,24,movie_unique_tag_count,0.00022367392478526854
popularity_score,25,user_positive_rate,0.00022233466038805558
popularity_score,26,user_pref::IMAX,0.00021425768279462827
popularity_score,27,genre::Comedy,0.00020916083136708307
popularity_score,28,user_pref::Action,0.00019113325996456367
popularity_score,29,user_rating_mean,0.0001434401998727068
popularity_score,30,user_pref::Children,0.00014121713346366846
popularity_score,31,user_pref::Musical,0.00012640698407374463
popularity_score,32,genre::Drama,0.00012528603419173628
popularity_score,33,user_pref::Comedy,0.00012230203033294
popularity_score,34,user_pref::Horror,0.0001104800456372581
popularity_score,35,genre::Adventure,0.00010870998071233355
popularity_score,36,genre::Action,9.658899808988959e-05
popularity_score,37,movie_tag_count,8.847005677508367e-05
popularity_score,38,genre::Children,7.757876025133859e-05
popularity_score,39,genre::Romance,7.411452300963552e-05
popularity_score,40,release_year,5.711269819845906e-05
popularity_score,41,genre::Fantasy,4.7821909283258255e-05
popularity_score,42,movie_age,4.4910956823545344e-05
popularity_score,43,genre::Sci-Fi,4.2829879239103913e-05
popularity_score,44,genre::Thriller,3.69392483209509e-05
popularity_score,45,genre::War,2.089494124673826e-05
popularity_score,46,tag::atmospheric,1.769317035943748e-05
popularity_score,47,genre::Horror,1.5661837146690603e-05
popularity_score,48,tag::sci-fi,1.4901950763995384e-05
popularity_score,49,genre::Musical,1.4590273524597163e-05
popularity_score,50,tag::space,1.1556180122275477e-05
popularity_score,51,genre::Animation,1.0415024967169875e-05
popularity_score,52,tag::twist ending,7.78556922663788e-06
popularity_score,53,genre::Mystery,5.703278124914994e-06
popularity_score,54,tag::action,5.400473563497169e-06
popularity_score,55,tag::suspense,4.992614074724573e-06
popularity_score,56,tag::quirky,4.8419487181264875e-06
popularity_score,57,tag::psychology,4.379124947094115e-06
popularity_score,58,genre::Documentary,4.369569130096857e-06
popularity_score,59,tag::black comedy,4.204877767456438e-06
popularity_score,60,tag::mindfuck,3.6805460648804268e-06
popularity_score,61,genre::IMAX,3.4488810409371123e-06
popularity_score,62,tag::crime,3.2589911478147045e-06
popularity_score,63,tag::dark,3.2084498879346707e-06
popularity_score,64,tag::religion,3.104905205303683e-06
popularity_score,65,tag::dark comedy,3.0869821081093076e-06
popularity_score,66,tag::thought-provoking,3.057514164477928e-06
popularity_score,67,tag::comedy,2.1951592438447017e-06
popularity_score,68,tag::in netflix queue,1.8184502844783836e-06
popularity_score,69,tag::politics,1.6988784370212607e-06
popularity_score,70,tag::mental illness,1.4795434562921686e-06
popularity_score,71,tag::music,9.824174996583792e-07
popularity_score,72,tag::surreal,8.397535697094774e-07
popularity_score,73,tag::dreamlike,7.378601065948579e-07
popularity_score,74,tag::funny,6.478558696030183e-07
popularity_score,75,tag::disney,6.446575743399038e-07
popularity_score,76,tag::superhero,4.497391962200535e-07
popularity_score,77,tag::time travel,2.9519888767709213e-07
popularity_score,78,genre::Western,2.8615682164114346e-07
popularity_score,79,tag::visually appealing,1.3746706960600788e-07
popularity_score,80,tag::high school,0.0
popularity_score,81,genre::Film-Noir,0.0
popularity_score,82,tag::aliens,0.0
popularity_score,83,genre::(no genres listed),0.0
popularity_score,84,user_pref::(no genres listed),0.0
popularity_score,85,tag::shakespeare,0.0
genre_score,1,genre::Drama,0.16404652152130114
genre_score,2,genre::Comedy,0.04358720366069135
genre_score,3,genre::Action,0.027751875438670987
genre_score,4,knn_max_similarity,0.018019891877056812
genre_score,5,user_pref::Drama,0.01772330888646473
genre_score,6,knn_mean_top3_similarity,0.012945130930875544
genre_score,7,user_pref::Comedy,0.012515731546969645
genre_score,8,genre::Documentary,0.012342428189447535
genre_score,9,genre::Adventure,0.01136655539026845
genre_score,10,genre::Thriller,0.01087422692863414
genre_score,11,genre::Crime,0.00965152855541388
genre_score,12,user_pref::Children,0.007236732480914412
genre_score,13,genre::Romance,0.005797820448614739
genre_score,14,user_pref::Adventure,0.005555329235774151
genre_score,15,user_pref::Action,0.004503451237449733
genre_score,16,user_pref::Documentary,0.0043798934737750836
genre_score,17,user_pref::Musical,0.004184722207712532
genre_score,18,user_pref::Romance,0.0035723633839039736
genre_score,19,genre::Animation,0.003512420521672782
genre_score,20,user_pref::Animation,0.003507716486277042
genre_score,21,user_pref::Fantasy,0.00342515332954279
genre_score,22,genre::Mystery,0.003184928541960726
genre_score,23,genre::War,0.0028658663698775755
genre_score,24,user_pref::War,0.0028116979737851234
genre_score,25,user_pref::Thriller,0.00248371901826092
genre_score,26,user_pref::Crime,0.002398626760863827
genre_score,27,genre::Horror,0.002128097217191369
genre_score,28,user_pref::Horror,0.001998841873739046
genre_score,29,genre::Children,0.001982871830445561
genre_score,30,genre::Fantasy,0.0019458586842116203
genre_score,31,user_pref::Film-Noir,0.001641415261583938
genre_score,32,movie_rating_count,0.0015345981118206847
genre_score,33,genre::Musical,0.00134574178489976
genre_score,34,movie_rating_std,0.0012588565870183246
genre_score,35,movie_bayesian_rating,0.0012324956188163893
genre_score,36,user_pref::Mystery,0.0012175720324678408
genre_score,37,genre::Sci-Fi,0.0012156578898160964
genre_score,38,user_rating_mean,0.001097786058695284
genre_score,39,movie_rating_mean,0.0010496392266690763
genre_score,40,user_pref::Western,0.0010323650570413987
genre_score,41,user_rating_count,0.0010040244814030024
genre_score,42,user_rating_std,0.0009617905614083836
genre_score,43,user_positive_rate,0.0008919921244366273
genre_score,44,genre::Western,0.0008268566807039763
genre_score,45,user_pref::IMAX,0.0007994145096340589
genre_score,46,user_pref::Sci-Fi,0.0007601872252424391
genre_score,47,movie_age,0.0007353057539948102
genre_score,48,release_year,0.0007205887100164021
genre_score,49,knn_evidence_count,0.0006161074634886048
genre_score,50,tag::psychology,0.0006111254523787002
genre_score,51,movie_tag_count,0.000579897818935164
genre_score,52,movie_unique_tag_count,0.000522811993304594
genre_score,53,tag::in netflix queue,0.0005211677670242425
genre_score,54,genre::IMAX,0.0002931627156994723
genre_score,55,tag::dark,0.00023158497239485172
genre_score,56,tag::dark comedy,0.00016294341330027335
genre_score,57,tag::crime,0.0001530727053523536
genre_score,58,tag::action,0.0001217460436222635
genre_score,59,tag::atmospheric,5.680566657205395e-05
genre_score,60,tag::sci-fi,5.427900551484797e-05
