recommender,precision@5,recall@5,hit_rate@5,ndcg@5,precision@10,recall@10,hit_rate@10,ndcg@10,run_id,run_timestamp,run_label,candidate_mode,negatives_per_user,max_users,users_evaluated,positive_threshold,k_values,include_neumf,avg_candidates_per_user
genre_personalized_popularity,0.016,0.006153846153846153,0.08,0.012031407205965993,0.024000000000000004,0.01656923076923077,0.24,0.02036293028855287,topk_full_catalog_smoke_full_catalog_20260604_131111,2026-06-04 13:11:11,full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,9598.6
item_item_knn,0.05600000000000001,0.03992577597840755,0.24,0.06891871534686875,0.032,0.04492577597840755,0.24,0.059052980912262985,topk_full_catalog_smoke_full_catalog_20260604_131111,2026-06-04 13:11:11,full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,9598.6
neumf_rating_model,0.0,0.0,0.0,0.0,0.004,0.0015384615384615385,0.04,0.002544831527958069,topk_full_catalog_smoke_full_catalog_20260604_131111,2026-06-04 13:11:11,full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,9598.6
popularity_bayes,0.04,0.004395604395604396,0.08,0.035587573271651046,0.036,0.02062396140444921,0.2,0.036750448813736625,topk_full_catalog_smoke_full_catalog_20260604_131111,2026-06-04 13:11:11,full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,9598.6
random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topk_full_catalog_smoke_full_catalog_20260604_131111,2026-06-04 13:11:11,full_catalog_smoke,full_catalog,all_unseen,25,25,4.0,5|10,True,9598.6
