recommender,precision@5,recall@5,hit_rate@5,ndcg@5,precision@10,recall@10,hit_rate@10,ndcg@10,run_id,run_timestamp,run_label,candidate_mode,negatives_per_user,max_users,users_evaluated,positive_threshold,k_values,include_neumf,include_hybrid,hybrid_weights,diversity_weight,avg_candidates_per_user
genre_personalized_popularity,0.414,0.28334464551661825,0.86,0.4834282854670765,0.312,0.3726431075734976,0.88,0.4689496324768851,topk_hybrid_phase3_tuned_sampled_100_negatives_20260604_191052,2026-06-04 19:10:52,hybrid_phase3_tuned,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
hybrid_ranker,0.47800000000000004,0.3386047334639153,0.9,0.5537869942490345,0.397,0.5040983963360965,0.95,0.5842581740909796,topk_hybrid_phase3_tuned_sampled_100_negatives_20260604_191052,2026-06-04 19:10:52,hybrid_phase3_tuned,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
item_item_knn,0.44800000000000006,0.31711496659929095,0.84,0.5015959115805293,0.382,0.4832453354180704,0.94,0.5408615318412627,topk_hybrid_phase3_tuned_sampled_100_negatives_20260604_191052,2026-06-04 19:10:52,hybrid_phase3_tuned,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
neumf_rating_model,0.172,0.09200008309265321,0.46,0.17814588381681293,0.16400000000000003,0.17803262465964892,0.64,0.20286512210001784,topk_hybrid_phase3_tuned_sampled_100_negatives_20260604_191052,2026-06-04 19:10:52,hybrid_phase3_tuned,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
popularity_bayes,0.398,0.24782883084815052,0.78,0.45750909603612955,0.33,0.3812995429344652,0.85,0.47314851060295837,topk_hybrid_phase3_tuned_sampled_100_negatives_20260604_191052,2026-06-04 19:10:52,hybrid_phase3_tuned,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
random,0.10800000000000001,0.05923248756674911,0.4,0.12095117372148252,0.10400000000000001,0.11956460460130514,0.62,0.13585842318824537,topk_hybrid_phase3_tuned_sampled_100_negatives_20260604_191052,2026-06-04 19:10:52,hybrid_phase3_tuned,sampled_100_negatives,100,100,100,4.0,5|10,True,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0,115.16
